epoch,accuracy,loss,val_accuracy,val_loss
0,0.4879518151283264,0.7451048493385315,0.6585366129875183,0.6498388051986694
1,0.6265060305595398,0.6106588840484619,0.7560975551605225,0.5316000580787659
2,0.759036123752594,0.5160374641418457,0.8536585569381714,0.44753846526145935
3,0.8072289228439331,0.450138658285141,0.9024389982223511,0.3981300890445709
4,0.8373494148254395,0.3929118812084198,0.9268292784690857,0.34736841917037964
5,0.8614457845687866,0.35730820894241333,0.9512194991111755,0.31371113657951355
6,0.9096385836601257,0.31697988510131836,0.9268292784690857,0.29290616512298584
7,0.9096385836601257,0.2934572398662567,0.9512194991111755,0.27001678943634033
8,0.9096385836601257,0.2750508785247803,0.9512194991111755,0.25565895438194275
9,0.8855421543121338,0.2773994207382202,0.9512194991111755,0.24419242143630981
10,0.9216867685317993,0.26028934121131897,0.9512194991111755,0.23170408606529236
11,0.9216867685317993,0.2615334987640381,0.9756097793579102,0.22478364408016205
12,0.9156626462936401,0.24194051325321198,0.9756097793579102,0.21924720704555511
13,0.9397590160369873,0.21933801472187042,0.9756097793579102,0.208324134349823
14,0.9216867685317993,0.2439108043909073,0.9756097793579102,0.1931636929512024
15,0.9518072009086609,0.23720474541187286,0.9512194991111755,0.18122121691703796
16,0.9397590160369873,0.21103008091449738,0.9756097793579102,0.1779550164937973
17,0.9277108311653137,0.22512125968933105,0.9756097793579102,0.1740914136171341
18,0.9277108311653137,0.21001552045345306,0.9756097793579102,0.174733504652977
19,0.9759036302566528,0.18311245739459991,0.9756097793579102,0.16996164619922638
