epoch,accuracy,loss,val_accuracy,val_loss
0,0.6024096608161926,0.6564650535583496,0.8292682766914368,0.5636231303215027
1,0.7469879388809204,0.5256388187408447,0.9268292784690857,0.451058030128479
2,0.8132529854774475,0.4637398421764374,0.9512194991111755,0.3727118968963623
3,0.8614457845687866,0.4058242738246918,0.9268292784690857,0.3229016661643982
4,0.8795180916786194,0.3474082052707672,0.9512194991111755,0.28178977966308594
5,0.8975903391838074,0.31098049879074097,0.9512194991111755,0.2534087002277374
6,0.9277108311653137,0.29391446709632874,0.9512194991111755,0.23363983631134033
7,0.9216867685317993,0.2782324552536011,0.9512194991111755,0.21532756090164185
8,0.9096385836601257,0.2554123103618622,0.9512194991111755,0.2029130458831787
9,0.9096385836601257,0.26821380853652954,0.9512194991111755,0.19001787900924683
10,0.9277108311653137,0.25058162212371826,0.9512194991111755,0.1800396889448166
11,0.9337349534034729,0.23262231051921844,0.9512194991111755,0.17841105163097382
12,0.9156626462936401,0.24603389203548431,0.9512194991111755,0.17635789513587952
13,0.9337349534034729,0.21016362309455872,0.9512194991111755,0.1646576225757599
14,0.9216867685317993,0.2336476743221283,0.9512194991111755,0.15619289875030518
15,0.9216867685317993,0.22796644270420074,0.9512194991111755,0.152116596698761
16,0.9156626462936401,0.2146502584218979,0.9512194991111755,0.1547149270772934
17,0.9578313231468201,0.18735747039318085,0.9512194991111755,0.1473364531993866
18,0.9277108311653137,0.19337093830108643,0.9512194991111755,0.14475052058696747
19,0.9578313231468201,0.17225509881973267,0.9512194991111755,0.14053523540496826
