epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.567829430103302,0.5580952167510986,0.5294725894927979,0.7880398035049438,0.6068376302719116,0.9102563858032227,0.6293706297874451,0.684754490852356
1,0.5834829211235046,0.6190476417541504,0.5532575249671936,0.7516840100288391,0.6574074029922485,0.9102563858032227,0.692307710647583,0.6484237313270569
2,0.6069565415382385,0.6647619009017944,0.5842812657356262,0.7218952775001526,0.6744186282157898,0.7435897588729858,0.6643356680870056,0.6189354658126831
3,0.6781193614006042,0.7142857313156128,0.6608065962791443,0.6485369205474854,0.6847826242446899,0.807692289352417,0.692307710647583,0.5998572707176208
4,0.6587591171264648,0.6876190304756165,0.6370217204093933,0.6680303812026978,0.6875,0.8461538553237915,0.7062937021255493,0.5870504379272461
5,0.675000011920929,0.7200000286102295,0.659772515296936,0.6230344176292419,0.6938775777816772,0.8717948794364929,0.7202796936035156,0.5761635899543762
6,0.68123859167099,0.7123809456825256,0.6628748774528503,0.6159246563911438,0.6914893388748169,0.8333333134651184,0.7062937021255493,0.5624220371246338
7,0.6837294101715088,0.7123809456825256,0.6649430990219116,0.6235105395317078,0.6907216310501099,0.8589743375778198,0.7132866978645325,0.5554956197738647
8,0.6889692544937134,0.7257142663002014,0.6732161045074463,0.6196691989898682,0.6969696879386902,0.8846153616905212,0.7272727489471436,0.5514737963676453
9,0.7153846025466919,0.7085714340209961,0.6887280344963074,0.5966115593910217,0.6969696879386902,0.8846153616905212,0.7272727489471436,0.5485610365867615
10,0.7015706896781921,0.7657142877578735,0.695966899394989,0.5792445540428162,0.7096773982048035,0.8461538553237915,0.7272727489471436,0.5428158044815063
11,0.6934046149253845,0.7409523725509644,0.6814891695976257,0.5976976156234741,0.72826087474823,0.8589743375778198,0.748251736164093,0.539330780506134
12,0.7122557759284973,0.7638095021247864,0.7042399048805237,0.5766080021858215,0.7159090638160706,0.807692289352417,0.7202796936035156,0.5345181822776794
13,0.7372549176216125,0.7161904573440552,0.707342267036438,0.5668146014213562,0.7142857313156128,0.8974359035491943,0.748251736164093,0.5359496474266052
14,0.7051724195480347,0.7790476083755493,0.7032057642936707,0.5633730292320251,0.761904776096344,0.8205128312110901,0.7622377872467041,0.524285614490509
15,0.7189189195632935,0.7599999904632568,0.708376407623291,0.5515296459197998,0.7241379022598267,0.807692289352417,0.7272727489471436,0.5252962708473206
16,0.7290909290313721,0.7638095021247864,0.7176835536956787,0.5409656167030334,0.7325581312179565,0.807692289352417,0.7342657446861267,0.524908185005188
17,0.7504488229751587,0.7961905002593994,0.7456049919128418,0.5344099402427673,0.7356321811676025,0.8205128312110901,0.7412587404251099,0.5203397274017334
18,0.7603143453598022,0.7371428608894348,0.7311272025108337,0.5382358431816101,0.7356321811676025,0.8205128312110901,0.7412587404251099,0.5185672640800476
19,0.7414721846580505,0.7866666913032532,0.7352637052536011,0.5292777419090271,0.7386363744735718,0.8333333134651184,0.748251736164093,0.515488862991333
20,0.7330960631370544,0.784761905670166,0.7280248403549194,0.5404764413833618,0.7441860437393188,0.8205128312110901,0.748251736164093,0.5114196538925171
21,0.7490636706352234,0.761904776096344,0.7321613430976868,0.5099025368690491,0.7200000286102295,0.9230769276618958,0.7622377872467041,0.5116310119628906
22,0.7335766553878784,0.7657142877578735,0.721820056438446,0.5297582745552063,0.7419354915618896,0.8846153616905212,0.7692307829856873,0.5043451189994812
23,0.7513710856437683,0.7828571200370789,0.7414684295654297,0.5210726261138916,0.75,0.8846153616905212,0.7762237787246704,0.5015016198158264
24,0.7562723755836487,0.8038095235824585,0.7528438568115234,0.5060826539993286,0.75,0.8846153616905212,0.7762237787246704,0.49962475895881653
25,0.7320144176483154,0.7752380967140198,0.7238883376121521,0.5340477228164673,0.7526881694793701,0.8974359035491943,0.7832167744636536,0.49946269392967224
26,0.7665441036224365,0.7942857146263123,0.7569803595542908,0.5202165842056274,0.7419354915618896,0.8846153616905212,0.7692307829856873,0.49999022483825684
27,0.7581227421760559,0.800000011920929,0.7528438568115234,0.5093012452125549,0.7291666865348816,0.8974359035491943,0.7622377872467041,0.501098096370697
28,0.78125,0.8095238208770752,0.7735263705253601,0.47510501742362976,0.7281553149223328,0.9615384340286255,0.7832167744636536,0.5050433874130249
29,0.7418244481086731,0.8209523558616638,0.7476732134819031,0.5181522965431213,0.7444444298744202,0.8589743375778198,0.7622377872467041,0.49528592824935913
