epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.653399646282196,0.7504761815071106,0.6483970880508423,0.6369796395301819,0.7472527623176575,0.8717948794364929,0.7692307829856873,0.48141351342201233
1,0.6896551847457886,0.761904776096344,0.68459153175354,0.5927838087081909,0.7555555701255798,0.8717948794364929,0.7762237787246704,0.4752020537853241
2,0.6984401941299438,0.7676190733909607,0.6938986778259277,0.5741395354270935,0.7472527623176575,0.8717948794364929,0.7692307829856873,0.46851882338523865
3,0.739676833152771,0.784761905670166,0.733195424079895,0.5267337560653687,0.75,0.8846153616905212,0.7762237787246704,0.46177151799201965
4,0.7411971688270569,0.8019047379493713,0.7404343485832214,0.5180073380470276,0.7582417726516724,0.8846153616905212,0.7832167744636536,0.4571969509124756
5,0.741410493850708,0.7809523940086365,0.733195424079895,0.5245121121406555,0.7525773048400879,0.9358974099159241,0.7972028255462646,0.45304858684539795
6,0.7522768378257751,0.7866666913032532,0.7435367107391357,0.5040326714515686,0.7300000190734863,0.9358974099159241,0.7762237787246704,0.4531286358833313
7,0.7650273442268372,0.800000011920929,0.7580145001411438,0.49348410964012146,0.7254902124404907,0.9487179517745972,0.7762237787246704,0.4548494517803192
8,0.7744361162185669,0.784761905670166,0.759048581123352,0.4677064120769501,0.7254902124404907,0.9487179517745972,0.7762237787246704,0.45325058698654175
9,0.7906137108802795,0.8342857360839844,0.7900723814964294,0.45444923639297485,0.7058823704719543,0.9230769276618958,0.748251736164093,0.4580157697200775
10,0.7918968796730042,0.8190476298332214,0.7849017381668091,0.45151904225349426,0.7128713130950928,0.9230769276618958,0.7552447319030762,0.45658618211746216
11,0.8036697506904602,0.8342857360839844,0.7993795275688171,0.43299683928489685,0.7009345889091492,0.9615384340286255,0.7552447319030762,0.4734782576560974
12,0.8190298676490784,0.8361904621124268,0.8107548952102661,0.4259251356124878,0.6944444179534912,0.9615384340286255,0.748251736164093,0.47713977098464966
13,0.8053571581840515,0.8590475916862488,0.8107548952102661,0.4035229980945587,0.6972476840019226,0.9743589758872986,0.7552447319030762,0.4815594255924225
14,0.8144144415855408,0.8609523773193359,0.8179938197135925,0.4012138545513153,0.6972476840019226,0.9743589758872986,0.7552447319030762,0.48670926690101624
15,0.8079710006713867,0.8495237827301025,0.8086866736412048,0.4071245491504669,0.6944444179534912,0.9615384340286255,0.748251736164093,0.47989532351493835
16,0.8152984976768494,0.8323809504508972,0.8066183924674988,0.40473976731300354,0.6944444179534912,0.9615384340286255,0.748251736164093,0.474242627620697
17,0.8218923807144165,0.8438095450401306,0.8159255385398865,0.4125993251800537,0.6972476840019226,0.9743589758872986,0.7552447319030762,0.48020049929618835
